CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,EngagementProfile,BalanceQuartile,BalanceSalaryRatio,RatioGroup
15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,Inactive High-Balance,Q4 (Highest),1.4013745268322026,Middle (5th-95th pct)
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,Inactive Disengaged,Q4 (Highest),26.01244882465911,Top 5% (extreme high)
15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,Inactive Disengaged,Q4 (Highest),4.825651017378075,Middle (5th-95th pct)
15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,Inactive Disengaged,Q4 (Highest),0.6760170104034784,Middle (5th-95th pct)
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,Inactive High-Balance,Q4 (Highest),1.6899241731836212,Middle (5th-95th pct)
15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,Inactive Disengaged,Q4 (Highest),1.4678907929586371,Middle (5th-95th pct)
15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,Inactive Disengaged,Q4 (Highest),1.619426060267494,Middle (5th-95th pct)
15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,Inactive High-Balance,Q4 (Highest),1.2042301811252034,Middle (5th-95th pct)
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,Inactive High-Balance,Q4 (Highest),4.713685060827113,Middle (5th-95th pct)
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,Inactive High-Balance,Q4 (Highest),7.982767107378953,Top 5% (extreme high)
15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,Inactive Disengaged,Q4 (Highest),2.0886024603275213,Middle (5th-95th pct)
15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,Inactive Disengaged,Q4 (Highest),1.4516333646926118,Middle (5th-95th pct)
15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,Inactive High-Balance,Q4 (Highest),1.5324583678433508,Middle (5th-95th pct)
15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,Inactive High-Balance,Q4 (Highest),3.394370101361673,Middle (5th-95th pct)
15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,Inactive Disengaged,Q4 (Highest),1.3839669691010512,Middle (5th-95th pct)
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,Inactive Disengaged,Q4 (Highest),3.17159974098797,Middle (5th-95th pct)
15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,Inactive Disengaged,Q4 (Highest),2.835852250993697,Middle (5th-95th pct)
15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,Inactive Disengaged,Q4 (Highest),0.7251728491394341,Middle (5th-95th pct)
15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,Inactive High-Balance,Q4 (Highest),0.9803043774217084,Middle (5th-95th pct)
15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,Inactive Disengaged,Q4 (Highest),2.405483628491969,Middle (5th-95th pct)
15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,Inactive Disengaged,Q4 (Highest),0.7932938900750399,Middle (5th-95th pct)
15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,Inactive Disengaged,Q4 (Highest),23.68274709010178,Top 5% (extreme high)
15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,Inactive Disengaged,Q4 (Highest),1.5105308444080607,Middle (5th-95th pct)
15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,Inactive High-Balance,Q4 (Highest),1.0620433383779786,Middle (5th-95th pct)
15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,Inactive Disengaged,Q4 (Highest),19.998986492757567,Top 5% (extreme high)
15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,Inactive High-Balance,Q4 (Highest),0.929062282077017,Middle (5th-95th pct)
15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,Inactive Disengaged,Q4 (Highest),1.8661158032199379,Middle (5th-95th pct)
15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,Inactive High-Balance,Q4 (Highest),0.9553242701847129,Middle (5th-95th pct)
15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,Inactive High-Balance,Q4 (Highest),0.8603048288630157,Middle (5th-95th pct)
15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,Inactive Disengaged,Q4 (Highest),2.1430527483626554,Middle (5th-95th pct)
15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,Inactive High-Balance,Q4 (Highest),1.9190635152492006,Middle (5th-95th pct)
15686776,Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44,0,Inactive High-Balance,Q4 (Highest),12.348286758078794,Top 5% (extreme high)
15723654,Tsao,773,France,Male,25,2,135903.33,1,1,0,73656.38,0,Inactive Disengaged,Q4 (Highest),1.8450992296933406,Middle (5th-95th pct)
15682541,Hartley,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0,Inactive Disengaged,Q4 (Highest),8.55675348124924,Top 5% (extreme high)
15660211,Shih,629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0,Inactive High-Balance,Q4 (Highest),4.928540118255584,Middle (5th-95th pct)
15773972,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1,Inactive Disengaged,Q4 (Highest),1.0781493615181168,Middle (5th-95th pct)
15797960,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0,Inactive Disengaged,Q4 (Highest),0.7400420079585389,Middle (5th-95th pct)
15662736,Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1,Inactive Disengaged,Q4 (Highest),1.2200826889942602,Middle (5th-95th pct)
15694408,Lung,749,France,Male,40,1,139290.41,1,1,0,182855.42,1,Inactive Disengaged,Q4 (Highest),0.7617516068159205,Middle (5th-95th pct)
15736601,Tai,716,France,Male,35,4,144428.87,1,1,0,134132.65,0,Inactive Disengaged,Q4 (Highest),1.0767614745552259,Middle (5th-95th pct)
15601274,Hsieh,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,0,Inactive Disengaged,Q4 (Highest),7.645092676522174,Top 5% (extreme high)
15697441,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51,1,Inactive Disengaged,Q4 (Highest),1.5588985085917815,Middle (5th-95th pct)
15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1,Inactive Disengaged,Q4 (Highest),11.713245002604564,Top 5% (extreme high)
15777352,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0,Inactive Disengaged,Q4 (Highest),2.7350652009438097,Middle (5th-95th pct)
15583303,Monaldo,593,France,Female,29,2,152265.43,1,1,0,34004.44,0,Inactive Disengaged,Q4 (Highest),4.477810250661384,Middle (5th-95th pct)
15667871,Kerr,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0,Inactive Disengaged,Q4 (Highest),1.189399834503635,Middle (5th-95th pct)
15717225,Ikemefuna,544,France,Female,21,10,161525.96,2,1,0,9262.77,0,Inactive High-Balance,Q4 (Highest),17.43819181519135,Top 5% (extreme high)
15612187,Morin,547,Germany,Male,32,8,155726.85,1,1,0,67789.99,0,Inactive Disengaged,Q4 (Highest),2.2971953528832207,Middle (5th-95th pct)
15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1,Inactive Disengaged,Q4 (Highest),0.7389144536206954,Middle (5th-95th pct)
15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1,Inactive Disengaged,Q4 (Highest),0.8138718517889795,Middle (5th-95th pct)
15691625,Ko,537,Germany,Female,41,3,138306.34,1,1,0,106761.47,0,Inactive Disengaged,Q4 (Highest),1.2954705475673949,Middle (5th-95th pct)
